,chi,dl_vn,dl,dl_er,dl_er_c1,dlq,dlq_er,dlq_er_c2,centroid
sun,958951970.0,1751691.93,1751691.93,1751700.21,10.953568,0.0,0.0,8.4e-05,1745302.16
jupiter,15538820.0,16638.67,26267.43,16638.67,0.000988,245.187427,245.187427,0.0,17091.39
saturn,7619765.0,5981.17,11204.94,5981.17,0.000128,97.481189,97.481189,0.0,6166.15
uranus,1731888.0,2097.39,7792.68,2097.39,1.6e-05,7.012487,7.012487,0.0,2106.28
neptune,1092777.0,2548.71,11338.94,2548.71,2.3e-05,8.693663,8.693663,0.0,2554.11
bh $7m_\odot$,2669.0,5338.87,5338.87,5338.87,0.000102,0.0,0.0,0.0,-0.0
bh $20m_\odot$,4512.0,9024.33,9024.33,9024.33,0.000291,0.0,0.0,0.0,1569.46
pl $3m_J$,54.0,108.0,108.0,108.0,0.0,2.2e-05,2.2e-05,0.0,-0.0
pl $7m_J$,82.0,164.97,164.97,164.97,0.0,3.4e-05,3.4e-05,0.0,-0.0
